"city","country","population","lat","lng"
"Kingston","Jamaica",937700,17.997,-76.7936
"New Kingston","Jamaica",583958,18.0075,-76.7832
"Spanish Town","Jamaica",145018,17.9911,-76.9574
"Portmore","Jamaica",102861,17.9503,-76.8821
"Montego Bay","Jamaica",82867,18.4712,-77.9188
"Mandeville","Jamaica",47115,18.0417,-77.5071
"May Pen","Jamaica",44755,17.9645,-77.2451
"Old Harbour","Jamaica",26024,17.9414,-77.109
"Linstead","Jamaica",20660,18.1368,-77.0317
"Half Way Tree","Jamaica",18552,18.0125,-76.7993
"Savanna-la-Mar","Jamaica",16553,18.219,-78.1332
"Port Antonio","Jamaica",14400,18.1761,-76.4509
"Saint Ann's Bay","Jamaica",13671,18.4358,-77.201
"Bog Walk","Jamaica",12873,18.1021,-77.0054
"Constant Spring","Jamaica",12830,18.0508,-76.7937
"Ewarton","Jamaica",12797,18.1833,-77.0854
"Hayes","Jamaica",9701,17.8757,-77.2371
"Ocho Rios","Jamaica",9450,18.4025,-77.1048
"Morant Bay","Jamaica",9368,17.8815,-76.4093
"Stony Hill","Jamaica",8551,18.0792,-76.7847
"Santa Cruz","Jamaica",8217,18.0534,-77.6984
"Old Harbour Bay","Jamaica",7912,17.9092,-77.0972
"Port Maria","Jamaica",7906,18.3685,-76.8895
"Falmouth","Jamaica",7779,18.4936,-77.6559
"Yallahs","Jamaica",7644,17.8748,-76.5624
"Bull Savanna","Jamaica",6962,17.8868,-77.5902
"Runaway Bay","Jamaica",6517,18.4596,-77.3357
"Lucea","Jamaica",6289,18.451,-78.1736
"Porus","Jamaica",5923,18.0354,-77.4117
"Annotto Bay","Jamaica",5504,18.2717,-76.7652
"Lionel Town","Jamaica",5362,17.8101,-77.2406
"Point Hill","Jamaica",5344,18.0899,-77.1076
"Black River","Jamaica",4229,18.0264,-77.8487
